,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
2039,13727853,Alpaca-13B,['roommate'],['Not found'],"Jen is considering asking her dickhead roommate to move out, but is afraid of the consequences. Jane encourages her to do it and reminds her that she is always there for her.",1,['Extrinsic_Error'],"Jen: I think I''m through with the dickhead. He''s being a pain again. I''m going to tell him to move out.
Jane: Did he at least give you back the money he owes you?
Jen: No. He''s freeloading and said he has no intention of giving back my money because I don''t deserve it with the way I act.
Jane: He has a nerve doesn''t he? How dare he?!!!
Jen: I''ve learnt to hate him with a passion. He''s like vermin that you can''t cull.
Jen: Abusive, nasty, annoying, irresponsible. He disgusts me.
Jane: Get rid of him! I told you right from the beginning that he''s no good.
Jen: Yeah you were absolutely right.. as always.
Jane: I hate to say it but I can smell a fucktard a mile away.
Jen: I seem to pick them, don''t I?
Jen: Sometimes I think it is my fault. If only I could be a better person, if only, if only....
Jane: You know that way of thinking will get you nowhere fast. It''s self defeating. That''s what the abusers want you think that you''re bad and you deserve every bit of abuse that they dish out.
Jen: What if he doesn''t leave? I''m afraid of asking him to leave ''cause it will only cause another fight.
Jane: You can''t spend your whole life walking on eggshells.
Jen: Yeah, you''re right... but how do I get out of this mess?
Jane: I think you''ve got to cut your losses and just move on.
Jen: Easier said than done.
Jane: I know. You''ve gotta do it Hon. If you don''t things will only get worse. Think of how much worse they''ve already got since you met him.
Jen: Yeah you''re right. Sometimes I just don''t have the strength. 
Jane: I believe in you. Please do it! Remember I''m always there for you.",FacEval,['Circumstantial Inference']
2041,13829710,BART,[],[],"Don has a meeting with management board today at 2 pm in their conference room. Catering will bring some tea, coffee and snacks. Don will go on a trip to Hilton next week.",0,[],"Don: Hi Cindy. Have you made all arrangements?
Cindy: It's about today's meeting or your trip next week?
Don: Both, I suppose:)
Cindy: You have meeting with management board today at 2 pm.
Don: Where did you set it up?
Cindy: In our conference room.
Cindy: Catering will bring some tea, coffee and snacks.
Don: That's good.
Don: Did everybody got the agenda?
Cindy: Yep.
Don: How did Andy react when he saw it?
Cindy: Can't say, really. Not sure if he even read it.
Don: That's Andy all right.
Don: And how about the trip.
Cindy: I've got your plane tickets and booked the hotel.
Don: Which one?
Cindy: Hilton, as usual.
Don: Perfect:=)
Cindy: But nobody is gonna pick you up at the airport. You'll have to get a cab.
Don: I think, I can manage that;=)
Don: Good job, Cindy. No idea, where I'd be without you.",SAMSum,[]
2044,13829710,GPT-4,[],[],"Don checks in with Cindy about a board meeting and an upcoming trip. The meeting is set to happen in their conference room and snacks will be provided. Cindy confirms everyone has received the agenda, though it's unclear if Andy has read it. Cindy has also arranged Don's trip, including flight tickets and a hotel booking at the Hilton. However, there will be no airport pickup, so Don will have to arrange a cab. Don appreciates Cindy's help in managing these details.",0,[],"Don: Hi Cindy. Have you made all arrangements?
Cindy: It''s about today''s meeting or your trip next week?
Don: Both, I suppose:)
Cindy: You have meeting with management board today at 2 pm.
Don: Where did you set it up?
Cindy: In our conference room.
Cindy: Catering will bring some tea, coffee and snacks.
Don: That''s good.
Don: Did everybody got the agenda?
Cindy: Yep.
Don: How did Andy react when he saw it?
Cindy: Can''t say, really. Not sure if he even read it.
Don: That''s Andy all right.
Don: And how about the trip.
Cindy: I''ve got your plane tickets and booked the hotel.
Don: Which one?
Cindy: Hilton, as usual.
Don: Perfect:=)
Cindy: But nobody is gonna pick you up at the airport. You''ll have to get a cab.
Don: I think, I can manage that;=)
Don: Good job, Cindy. No idea, where I''d be without you.",SAMSum,[]
2045,13829710,Alpaca-13B,[],[],"Don and Cindy discussed the upcoming meeting with the management board and Don's trip. Cindy arranged the conference room, catering and accommodation for Don at the Hilton. Don thanked her for her help and acknowledged that he would be lost without her.",0,[],"Don: Hi Cindy. Have you made all arrangements?
Cindy: It''s about today''s meeting or your trip next week?
Don: Both, I suppose:)
Cindy: You have meeting with management board today at 2 pm.
Don: Where did you set it up?
Cindy: In our conference room.
Cindy: Catering will bring some tea, coffee and snacks.
Don: That''s good.
Don: Did everybody got the agenda?
Cindy: Yep.
Don: How did Andy react when he saw it?
Cindy: Can''t say, really. Not sure if he even read it.
Don: That''s Andy all right.
Don: And how about the trip.
Cindy: I''ve got your plane tickets and booked the hotel.
Don: Which one?
Cindy: Hilton, as usual.
Don: Perfect:=)
Cindy: But nobody is gonna pick you up at the airport. You''ll have to get a cab.
Don: I think, I can manage that;=)
Don: Good job, Cindy. No idea, where I''d be without you.",SAMSum,[]
2047,test_147,BART,[],[],##Person1# blames #Person2# for giving money to the policeman and driving the car.,0,[],"#Person1#: This is all your fault. This wouldn't have happened if you hadn't tried to give money to that policeman.
#Person2#: Well, if you'd listen to me when I suggested asking someone for directions, we wouldn't have got lost in the first place, would we?
#Person1#: Oh, go on, blame it all on me. You were the one who was driving when we got stopped by the police. If you hadn't been speeding, we wouldn't have been stopped at all.
#Person2#: That's not fair. We were doing fine until you suddenly decided you knew a quicker way.
#Person1#: Oh, come on, I only suggest it because we were running so late. We would have been fine if you hadn't suggested driving instead of taking the train.
#Person2#: No, we would have been fine if you had remembered to book tickets.",DialogSum,[]
2050,test_147,GPT-4,"[""Person1 believes it's Person2's fault for speeding and not listening to their directions""]","[""#Person2# :  Well, if you'd listen to me when I suggested asking someone for directions, we wouldn't have got lost in the first place, would we?""]","Person1 and Person2 are arguing over whose fault it was that they got in trouble with the police. Their disagreement stems from getting lost, offering a bribe to a policeman, running late, and deciding to drive instead of taking the train. Person1 believes it's Person2's fault for speeding and not listening to their directions, while Person2 blames Person1 for not booking train tickets and suggesting a quicker route.",1,['Intrinsic_Error'],"#Person1#: This is all your fault. This wouldn''t have happened if you hadn''t tried to give money to that policeman.
#Person2#: Well, if you''d listen to me when I suggested asking someone for directions, we wouldn''t have got lost in the first place, would we?
#Person1#: Oh, go on, blame it all on me. You were the one who was driving when we got stopped by the police. If you hadn''t been speeding, we wouldn''t have been stopped at all.
#Person2#: That''s not fair. We were doing fine until you suddenly decided you knew a quicker way.
#Person1#: Oh, come on, I only suggest it because we were running so late. We would have been fine if you hadn''t suggested driving instead of taking the train.
#Person2#: No, we would have been fine if you had remembered to book tickets.",DialogSum,['Referential Error']
2051,test_147,Alpaca-13B,[],[],#Person1# and #Person2# are arguing about who is to blame for their current predicament. #Person1# believes that it is #Person2#'s fault for speeding and #Person2# believes that it is #Person1#'s fault for suggesting a quicker route and for not booking train tickets in advance.,0,[],"#Person1#: This is all your fault. This wouldn''t have happened if you hadn''t tried to give money to that policeman.
#Person2#: Well, if you''d listen to me when I suggested asking someone for directions, we wouldn''t have got lost in the first place, would we?
#Person1#: Oh, go on, blame it all on me. You were the one who was driving when we got stopped by the police. If you hadn''t been speeding, we wouldn''t have been stopped at all.
#Person2#: That''s not fair. We were doing fine until you suddenly decided you knew a quicker way.
#Person1#: Oh, come on, I only suggest it because we were running so late. We would have been fine if you hadn''t suggested driving instead of taking the train.
#Person2#: No, we would have been fine if you had remembered to book tickets.",DialogSum,[]
2053,13828334,BART,['She'],[],Ditty came back last night. Inga collected a parcel for Ditty before Christmas. She will come over to collect it today around 6 pm.,1,['Intrinsic_Error'],"Inga: Hello Ditty! So you are back. Saw the lights last night.
Ditty: Hello Ditty, yes, I came back last night. How are you?
Inga: Didn't want to wake you up this morning. But I've got some mail for you.
Inga: Thanks. We are fine. Just surviving this terrible winter. And you?
Ditty: What mail? Andy was emptying my letter box.
Ditty: Thanks for not waking me up! Still jet-lagged.
Inga: I collected a parcel for you. Just before Xmas.
Ditty: Santa had found me!
Ditty: When are you back from work today?
Ditty: Or is Hans at home in the afternoon?
Ditty: Stupid me. It can wait.
Inga: Am back around 6 pm. As usual.
Inga: Hans is away.
Ditty: OK I'll be home. Just knock and I come over to collect it.
Inga: Fine.
Ditty: Thank you, Inga!",SAMSum,['Referential Error']
2056,13828334,GPT-4,['her husband'],['Not found'],"Inga informs Ditty of a collected mail parcel that arrived just before Christmas, and they arrange for Ditty to collect it when Inga returns from work around 6pm, since her husband Hans is away. Ditty thanks Inga for this and also for not waking her up in the morning due to her jet lag.",1,['Extrinsic_Error'],"Inga: Hello Ditty! So you are back. Saw the lights last night.
Ditty: Hello Ditty, yes, I came back last night. How are you?
Inga: Didn''t want to wake you up this morning. But I''ve got some mail for you.
Inga: Thanks. We are fine. Just surviving this terrible winter. And you?
Ditty: What mail? Andy was emptying my letter box.
Ditty: Thanks for not waking me up! Still jet-lagged.
Inga: I collected a parcel for you. Just before Xmas.
Ditty: Santa had found me!
Ditty: When are you back from work today?
Ditty: Or is Hans at home in the afternoon?
Ditty: Stupid me. It can wait.
Inga: Am back around 6 pm. As usual.
Inga: Hans is away.
Ditty: OK I''ll be home. Just knock and I come over to collect it.
Inga: Fine.
Ditty: Thank you, Inga!",SAMSum,['Circumstantial Inference']
2057,13828334,Alpaca-13B,['Inga has brought her a parcel'],['Inga :  I collected a parcel for you. Just before Xmas.'],Ditty has returned from her trip and Inga has brought her a parcel. Ditty is looking forward to opening it and Inga tells her she will be back home around 6 pm. Hans is away so Ditty can come over and collect the parcel.,1,['Intrinsic_Error'],"Inga: Hello Ditty! So you are back. Saw the lights last night.
Ditty: Hello Ditty, yes, I came back last night. How are you?
Inga: Didn''t want to wake you up this morning. But I''ve got some mail for you.
Inga: Thanks. We are fine. Just surviving this terrible winter. And you?
Ditty: What mail? Andy was emptying my letter box.
Ditty: Thanks for not waking me up! Still jet-lagged.
Inga: I collected a parcel for you. Just before Xmas.
Ditty: Santa had found me!
Ditty: When are you back from work today?
Ditty: Or is Hans at home in the afternoon?
Ditty: Stupid me. It can wait.
Inga: Am back around 6 pm. As usual.
Inga: Hans is away.
Ditty: OK I''ll be home. Just knock and I come over to collect it.
Inga: Fine.
Ditty: Thank you, Inga!",SAMSum,['Logical Error']
